18640901T12:00:00:00.999Z,13.85
18641001T12:00:00:00.999Z,10.2
18641101T12:00:00:00.999Z,5.45
18641201T12:00:00:00.999Z,3.45
18650101T12:00:00:00.999Z,2.8
18650201T12:00:00:00.999Z,2.6
18650301T12:00:00:00.999Z,3.1
18650401T12:00:00:00.999Z,11.3
18650501T12:00:00:00.999Z,13.25
18650601T12:00:00:00.999Z,16.35
18650701T12:00:00:00.999Z,17.4
18650801T12:00:00:00.999Z,15.4
18650901T12:00:00:00.999Z,16.6
18651001T12:00:00:00.999Z,10.35
18651101T12:00:00:00.999Z,7.15
18651201T12:00:00:00.999Z,5.9
18660101T12:00:00:00.999Z,6
18660201T12:00:00:00.999Z,4.6
18660301T12:00:00:00.999Z,5.1
18660401T12:00:00:00.999Z,9.15
18660501T12:00:00:00.999Z,10.25
18660601T12:00:00:00.999Z,16.5
18660701T12:00:00:00.999Z,16.45
18660801T12:00:00:00.999Z,15.55
18660901T12:00:00:00.999Z,13.65
18661001T12:00:00:00.999Z,11.1
18661101T12:00:00:00.999Z,7.2
18661201T12:00:00:00.999Z,6.25
18670101T12:00:00:00.999Z,2.85
18670201T12:00:00:00.999Z,7.25
18670301T12:00:00:00.999Z,3.25
18670401T12:00:00:00.999Z,10.3
18670501T12:00:00:00.999Z,11.8
18670601T12:00:00:00.999Z,14.8
18670701T12:00:00:00.999Z,15.4
18670801T12:00:00:00.999Z,16.65
18670901T12:00:00:00.999Z,14
18671001T12:00:00:00.999Z,9.9
18671101T12:00:00:00.999Z,5
18671201T12:00:00:00.999Z,3.15
18680101T12:00:00:00.999Z,3.8
18680201T12:00:00:00.999Z,6.55
18680301T12:00:00:00.999Z,7
18680401T12:00:00:00.999Z,9.35
18680501T12:00:00:00.999Z,14.1
18680601T12:00:00:00.999Z,16.5
18680701T12:00:00:00.999Z,19.25
18680801T12:00:00:00.999Z,17.3
18680901T12:00:00:00.999Z,14.55
18681001T12:00:00:00.999Z,8.85
18681101T12:00:00:00.999Z,5.25
18681201T12:00:00:00.999Z,7.8
18690101T12:00:00:00.999Z,5.6
18690201T12:00:00:00.999Z,7.8
18690301T12:00:00:00.999Z,4.1
18690401T12:00:00:00.999Z,11
18690501T12:00:00:00.999Z,11
18690601T12:00:00:00.999Z,13.85
18690701T12:00:00:00.999Z,18.25
18690801T12:00:00:00.999Z,16.1
18690901T12:00:00:00.999Z,15.15
18691001T12:00:00:00.999Z,10
18691101T12:00:00:00.999Z,6.6
18691201T12:00:00:00.999Z,3.3
18700101T12:00:00:00.999Z,3.6
18700201T12:00:00:00.999Z,2.95
18700301T12:00:00:00.999Z,4.9
18700401T12:00:00:00.999Z,9.65
18700501T12:00:00:00.999Z,12.15
18700601T12:00:00:00.999Z,16.75
18700701T12:00:00:00.999Z,18.95
18700801T12:00:00:00.999Z,16
18700901T12:00:00:00.999Z,13.25
18701001T12:00:00:00.999Z,10.4
18701101T12:00:00:00.999Z,5.2
18701201T12:00:00:00.999Z,2.75
18710101T12:00:00:00.999Z,1.95
18710201T12:00:00:00.999Z,6.4
18710301T12:00:00:00.999Z,7.55
18710401T12:00:00:00.999Z,9.55
18710501T12:00:00:00.999Z,11.4
18710601T12:00:00:00.999Z,13.25
18710701T12:00:00:00.999Z,16.5
18710801T12:00:00:00.999Z,17.9
18710901T12:00:00:00.999Z,13.75
18711001T12:00:00:00.999Z,10.05
18711101T12:00:00:00.999Z,3.3
18711201T12:00:00:00.999Z,3.45
18720101T12:00:00:00.999Z,5.25
18720201T12:00:00:00.999Z,7.4
18720301T12:00:00:00.999Z,7.4
18720401T12:00:00:00.999Z,9.2
18720501T12:00:00:00.999Z,10.55
18720601T12:00:00:00.999Z,15.3
18720701T12:00:00:00.999Z,18.3
18720801T12:00:00:00.999Z,16.15
18720901T12:00:00:00.999Z,14.15
18721001T12:00:00:00.999Z,8.9
18721101T12:00:00:00.999Z,7.35
18721201T12:00:00:00.999Z,5.7
18730101T12:00:00:00.999Z,5.5
18730201T12:00:00:00.999Z,2.15
18730301T12:00:00:00.999Z,5.95
18730401T12:00:00:00.999Z,8.35
18730501T12:00:00:00.999Z,10.75
18730601T12:00:00:00.999Z,15.15
18730701T12:00:00:00.999Z,17.2
18730801T12:00:00:00.999Z,17.1
18730901T12:00:00:00.999Z,12.35
18731001T12:00:00:00.999Z,8.8
18731101T12:00:00:00.999Z,6.7
18731201T12:00:00:00.999Z,4.7
18740101T12:00:00:00.999Z,5.8
18740201T12:00:00:00.999Z,4.05
18740301T12:00:00:00.999Z,7.05
18740401T12:00:00:00.999Z,10.55
18740501T12:00:00:00.999Z,10.85
18740601T12:00:00:00.999Z,14.7
18740701T12:00:00:00.999Z,18.55
18740801T12:00:00:00.999Z,16.2
18740901T12:00:00:00.999Z,14.5
18741001T12:00:00:00.999Z,11.25
18741101T12:00:00:00.999Z,5.6
18741201T12:00:00:00.999Z,2.9
18750101T12:00:00:00.999Z,7.1
18750201T12:00:00:00.999Z,2.45
18750301T12:00:00:00.999Z,5.5
18750401T12:00:00:00.999Z,8.45
18750501T12:00:00:00.999Z,13.05
18750601T12:00:00:00.999Z,15.55
18750701T12:00:00:00.999Z,15.5
18750801T12:00:00:00.999Z,17.35
18750901T12:00:00:00.999Z,15.75
18751001T12:00:00:00.999Z,9.5
18751101T12:00:00:00.999Z,6
18751201T12:00:00:00.999Z,4.3
18760101T12:00:00:00.999Z,3.05
18760201T12:00:00:00.999Z,5.55
18760301T12:00:00:00.999Z,5.25
18760401T12:00:00:00.999Z,8.9
18760501T12:00:00:00.999Z,10.05
18760601T12:00:00:00.999Z,15.4
18760701T12:00:00:00.999Z,18.8
18760801T12:00:00:00.999Z,17.85
18760901T12:00:00:00.999Z,13.6
18761001T12:00:00:00.999Z,11.8
18761101T12:00:00:00.999Z,6.9
18761201T12:00:00:00.999Z,6.85
18770101T12:00:00:00.999Z,6.25
18770201T12:00:00:00.999Z,6.7
18770301T12:00:00:00.999Z,5.6
18770401T12:00:00:00.999Z,8.2
18770501T12:00:00:00.999Z,10
18770601T12:00:00:00.999Z,16.35
18770701T12:00:00:00.999Z,16.1
18770801T12:00:00:00.999Z,16.2
18770901T12:00:00:00.999Z,11.75
18771001T12:00:00:00.999Z,9.45
18771101T12:00:00:00.999Z,7.55
18771201T12:00:00:00.999Z,5.05
18780101T12:00:00:00.999Z,5.05
18780201T12:00:00:00.999Z,6.5
18780301T12:00:00:00.999Z,5.85
18780401T12:00:00:00.999Z,9.8
