18820701,15.95
18820801,15.7
18820901,12.8
18821001,10.4
18821101,6.55
18821201,4.85
18830101,5.75
18830201,6.95
18830301,4.2
18830401,9.25
18830501,11.65
18830601,14.85
18830701,15
18830801,16.4
18830901,13.95
18831001,10.6
18831101,6.8
18831201,5
18840101,7.3
18840201,6
18840301,6.95
18840401,7.4
18840501,12.1
18840601,14.7
18840701,16.95
18840801,17.95
18840901,15.3
18841001,9.9
18841101,5.7
18841201,5.1
18850101,2.95
18850201,6.8
18850301,5.3
18850401,8.3
18850501,9.5
18850601,14.8
18850701,17.3
18850801,14.4
18850901,12.85
18851001,8
18851101,6.2
18851201,3.85
18860101,2.55
18860201,2.2
18860301,4.65
18860401,8.35
18860501,11.35
18860601,14.05
18860701,16.9
18860801,16.6
18860901,14.65
18861001,11.9
18861101,6.65
18861201,2.9
18870101,2.6
18870201,4
18870301,3.7
18870401,6.75
18870501,10.25
18870601,15.9
18870701,18.2
18870801,16.35
18870901,12.2
18871001,7.5
18871101,5
18871201,3
18880101,3.15
18880201,2.4
18880301,3.9
18880401,6.7
18880501,11.3
18880601,13.95
18880701,14.45
18880801,14.75
18880901,13.2
18881001,8.35
18881101,8.25
18881201,5.05
18890101,2.6
18890201,3.1
18890301,5.2
18890401,7.35
18890501,13.1
18890601,15.75
18890701,15.65
18890801,15.2
18890901,13.3
18891001,9.1
18891101,6.9
18891201,2.85
18900101,6
18900201,3.3
18900301,6.35
18900401,7.45
18900501,11.8
18900601,14.35
18900701,15.25
18900801,15.1
18900901,15.05
18901001,9.85
18901101,6.1
18901201,2.1
18910101,3.1
18910201,4.55
18910301,4.4
18910401,6.7
18910501,9.85
18910601,15.15
18910701,15
18910801,14.45
18910901,14.2
18911001,9.9
18911101,5.8
18911201,4.45
18920101,2.55
18920201,3.65
18920301,3.9
18920401,8
18920501,12
18920601,13.95
18920701,14.6
18920801,15.95
18920901,12.9
18921001,7.55
18921101,6.6
18921201,2.65
18930101,2.35
18930201,5.25
18930301,7.7
18930401,10.95
18930501,13.55
18930601,16
18930701,17.05
18930801,18.1
18930901,13.75
18931001,10.45
18931101,4.95
18931201,4.55
18940101,3.65
18940201,5.4
18940301,7
18940401,10.05
18940501,9.7
18940601,14.05
18940701,16.3
18940801,14.8
18940901,12.15
18941001,9.7
18941101,8
18941201,5.15
18950101,2.45
18950201,3.55
18950301,6
18950401,9.05
18950501,13.15
18950601,15.6
18950701,16.3
18950801,16.3
18950901,16.15
18951001,7.75
18951101,8.25
18951201,4.35
18960101,4.8
18960201,4.7
18960301,7.85
18960401,9.7
18960501,12.4
18960601,16.95
18960701,17.45
18960801,15.1
18960901,13.85
18961001,8
18961101,4.7
18961201,4.2
18970101,2.05
18970201,6.45
18970301,7.35
18970401,7.85
18970501,10.7
18970601,15.9
18970701,17.35
18970801,16.5
18970901,12.8
18971001,10.25
18971101,7.25
18971201,4.75
18980101,6.4
18980201,5.25
18980301,4.55
18980401,8.65
18980501,10.8
18980601,14.15
18980701,16.2
18980801,17.45
18980901,16.1
18981001,11.5
18981101,7.55
18981201,7.6
18990101,5.7
18990201,5.8
18990301,5.5
18990401,8.65
18990501,10.8
18990601,16.15
18990701,18.55
18990801,18.6
18990901,14.45
18991001,9.4
18991101,8.35
18991201,2.6
19000101,4.65
19000201,3.35
19000301,4.05
19000401,8.8
19000501,10.75
19000601,15.05
19000701,18.85
19000801,15.95
19000901,14.4
19001001,10.45
19001101,7.85
19001201,7.6
19010101,3.5
19010201,2.5
19010301,4.4
19010401,9.15
19010501,11.8
19010601,14.6
19010701,18.5
19010801,16.45
19010901,14.25
19011001,10.15
19011101,4.9
19011201,3.65
19020101,5.2
19020201,2.6
19020301,7.4
19020401,8.1
19020501,9.6
19020601,14.15
19020701,15.75
19020801,15.35
19020901,13.25
19021001,9.9
19021101,7.05
19021201,4.75
19030101,4.65
19030201,7.5
19030301,7.7
19030401,6.8
19030501,11.7
19030601,13.2
19030701,16.3
19030801,14.85
19030901,13.75
19031001,11.25
19031101,6.75
19031201,3.65
19040101,4.1
19040201,3.95
19040301,4.95
19040401,9.6
19040501,11.5
19040601,14
19040701,18.1
19040801,15.8
19040901,12.6
19041001,9.9
19041101,5.25
19041201,4
19050101,3.35
19050201,5.8
19050301,7.5
19050401,8
19050501,11.4
19050601,15.2
19050701,18.35
19050801,15.55
19050901,13.1
19051001,7.6
19051101,5.25
19051201,4.6
19060101,5.75
19060201,3.65
19060301,5.7
19060401,7.95
19060501,11.35
19060601,14.75
19060701,16.9
19060801,18
19060901,14.9
19061001,11.6
19061101,7.6
19061201,3.4
19070101,3.7
19070201,3.3
19070301,6.95
19070401,8.35
19070501,11.6
19070601,13.15
19070701,14.8
19070801,15.15
19070901,14.35
19071001,10.35
19071101,7.2
19071201,5.4
19080101,2.95
19080201,5.65
19080301,4.9
19080401,6.4
19080501,13.3
19080601,15.15
19080701,16.85
19080801,15.35
19080901,13.2
19081001,12.1
19081101,8.05
19081201,4.05
19090101,3.65
19090201,3.55
19090301,4.15
19090401,9.3
19090501,11.35
19090601,12.45
19090701,15.65
19090801,16.45
19090901,12.6
19091001,11.1
19091101,5.3
19091201,4.6
19100101,4.15
19100201,5.7
19100301,6.25
19100401,8
19100501,11.9
19100601,15.6
19100701,14.7
19100801,15.75
19100901,13.1
19101001,11.35
19101101,3.65
19101201,6.75
19110101,3.8
19110201,5.2
19110301,5.6
19110401,8.2
19110501,13.5
19110601,15.3
19110701,19.6
19110801,19.45
19110901,15.4
19111001,10.05
19111101,6.45
19111201,6.85
19120101,4.25
19120201,6.25
19120301,7.9
19120401,9.25
19120501,13.15
19120601,14.4
19120701,16.8
19120801,13.55
19120901,11.45
19121001,8.6
19121101,6.65
19121201,7.55
19130101,5.3
19130201,4.85
19130301,6.85
19130401,8.45
19130501,12.4
19130601,14.95
19130701,15.5
19130801,16.05
19130901,14.7
19131001,11.75
19131101,8.8
19131201,5.15
19140101,3.6
19140201,7.1
19140301,6.7
19140401,10.3
19140501,11.5
19140601,15.4
19140701,16.55
19140801,16.95
19140901,13.9
19141001,10.9
19141101,7.1
19141201,5.3
19150101,4.35
19150201,4.9
19150301,5.55
19150401,8.2
19150501,11.75
19150601,15.05
19150701,15.5
19150801,16.5
19150901,13.7
19151001,9.5
19151101,3.5
19151201,6.25
19160101,7.7
19160201,3.8
19160301,3.8
19160401,9.1
19160501,12.45
19160601,12
19160701,15.95
19160801,17.2
19160901,13.3
19161001,11.4
19161101,6.6
19161201,2.35
19170101,1.65
19170201,2.85
19170301,3.45
19170401,6.15
19170501,13.85
19170601,16.1
19170701,16.5
19170801,15.85
19170901,14.75
19171001,8.1
19171101,7.95
19171201,2.7
19180101,3.85
19180201,6.55
19180301,6.5
19180401,7.05
19180501,13.55
19180601,13.7
19180701,16.25
19180801,16.55
19180901,12.55
19181001,9.5
19181101,5.65
19181201,7.45
19190101,2.9
19190201,2.65
19190301,4.25
19190401,7.55
19190501,13.65
19190601,15.05
19190701,14.45
